Citing_Pmid	Ref_Pmid	Citing_Pubyear	Ref_Pubyear	AID_cos_sim	Year_Diff	AID_cos_dist	Diffusion_Z_value
24187568	11015443	2013.0	2000.0	0.559938	13.0	0.4400619999999999	0.0624219332345351
24137947	11015443	2013.0	2000.0	0.47433436	13.0	0.5256656399999999	0.6322732152890874
24083425	11015443	2013.0	2000.0	0.5474887	13.0	0.4525112999999999	0.1452951564488954
23850673	11015443	2013.0	2000.0	0.50590986	13.0	0.4940901399999999	0.4220795931894488
24127445	11015443	2013.0	2000.0	0.6266561	13.0	0.3733438999999999	-0.3817109893987061
24067957	11015443	2013.0	2000.0	0.60508376	13.0	0.39491624	-0.2381069837055282
19562472	11015443	2009.0	2000.0	0.6423654	9.0	0.3576346	-0.356646358495578
19424967	11015443	2009.0	2000.0	0.6476442	9.0	0.3523558	-0.3884916555961482
19056397	11015443	2009.0	2000.0	0.376397	9.0	0.623603	1.2478551792333117
19568919	11015443	2009.0	2000.0	0.60854506	9.0	0.39145494	-0.152619160014428
19426216	11015443	2009.0	2000.0	0.64515764	9.0	0.35484236	-0.3734910414492978
19563908	11015443	2009.0	2000.0	0.6065974	9.0	0.3934026	-0.1408695556818341
18791172	11015443	2009.0	2000.0	0.499327	9.0	0.5006729999999999	0.5062581548010386
19426215	11015443	2009.0	2000.0	0.68346834	9.0	0.31653166	-0.6046071329153149
19246340	11015443	2009.0	2000.0	0.57563746	9.0	0.4243625399999999	0.0459017725586411
19811462	11015443	2009.0	2000.0	0.6008939	9.0	0.3991061	-0.1064621805183309
19426219	11015443	2009.0	2000.0	0.6598097	9.0	0.3401902999999999	-0.4618821916795359
19380770	11015443	2009.0	2000.0	0.61825585	9.0	0.3817441499999999	-0.2112012227239922
19734216	11015443	2009.0	2000.0	0.48475978	9.0	0.51524022	0.5941374926864235
19729380	11015443	2009.0	2000.0	0.5172267	9.0	0.4827732999999999	0.3982750403600533
19838621	11015443	2009.0	2000.0	0.53493613	9.0	0.46506387	0.2914397634350427
19723542	11015443	2009.0	2000.0	0.5700671	9.0	0.4299328999999999	0.0795059570621516
19724910	11015443	2009.0	2000.0	0.60403883	9.0	0.39596117	-0.1254345284403013
18830259	11015443	2009.0	2000.0	0.52335125	9.0	0.4766487499999999	0.3613276064058788
19423728	11015443	2009.0	2000.0	0.62792057	9.0	0.37207943	-0.2695053599888669
19959874	11015443	2009.0	2000.0	0.5764998	9.0	0.4235002	0.0406995535880977
19472182	11015443	2009.0	2000.0	0.5839942	9.0	0.4160058	-0.004511743409423
19182257	11015443	2009.0	2000.0	0.6729333	9.0	0.3270667	-0.541052635914786
19759858	11015443	2009.0	2000.0	0.3661315	9.0	0.6338685	1.3097836283857516
19339692	11015443	2009.0	2000.0	0.6618924	9.0	0.3381075999999999	-0.4744464487590534
19081139	11015443	2009.0	2000.0	0.58889663	9.0	0.4111033699999999	-0.0340865217425192
19444307	11015443	2009.0	2000.0	0.7596178	9.0	0.2403822	-1.0639922541072482
19010538	11015443	2009.0	2000.0	0.50532615	9.0	0.4946738499999999	0.4700672185843069
19442121	11015443	2009.0	2000.0	0.58365065	9.0	0.4163493499999999	-0.002439217111988
19442732	11015443	2009.0	2000.0	0.5684761	9.0	0.4315238999999999	0.0891039466974868
20007574	11015443	2009.0	2000.0	0.6216477	9.0	0.3783523	-0.2316631593327987
19794071	11015443	2009.0	2000.0	0.46913576	9.0	0.53086424	0.688392163976347
19091870	11015443	2009.0	2000.0	0.52024984	9.0	0.47975016	0.3800374122103574
18561984	11015443	2009.0	2000.0	0.5514218	9.0	0.4485782	0.1919870357219345
19230866	11015443	2009.0	2000.0	0.68347585	9.0	0.31652415	-0.6046524383220787
19436710	11015443	2009.0	2000.0	0.546709	9.0	0.453291	0.2204178374525486
19013006	11015443	2009.0	2000.0	0.51096696	9.0	0.48903304	0.4360380319627518
19761435	11015443	2009.0	2000.0	0.54013485	9.0	0.4598651499999999	0.2600775631352248
19294574	11015443	2009.0	2000.0	0.7114329	9.0	0.2885670999999999	-0.7733083001288329
19201863	11015443	2009.0	2000.0	0.82654977	9.0	0.17345023	-1.4677712323175311
19454660	11015443	2009.0	2000.0	0.6610375	9.0	0.3389625	-0.4692891129078599
19811426	11015443	2009.0	2000.0	0.5958353	9.0	0.4041647	-0.0759452789662841
19597183	11015443	2009.0	2000.0	0.5571781	9.0	0.4428219	0.1572611351952972
19238515	11015443	2009.0	2000.0	0.6357611	9.0	0.3642389	-0.3168047475913393
20121696	11015443	2009.0	2000.0	0.71576756	9.0	0.28423244	-0.799457905253095
19451266	11015443	2009.0	2000.0	0.5109902	9.0	0.4890098	0.4358978325415544
